State,Year,Coal,Natural gas,Petroleum,Nuclear,Total renewable energy,TotalEnergy,PercentRenewable,PercentNonRenewable
AR,1975,862,257445,341236,53676,47582,700801,6.7896592613309625,93.21034073866903
AZ,1975,92449,164346,306751,0,30164,593710,5.080594903235586,94.91940509676441
CA,1975,56405,1937322,2976517,66855,275396,5312495,5.183929584874903,94.8160704151251
CO,1975,159333,280996,326510,0,14190,781029,1.8168339459866407,98.18316605401336
CT,1975,1272,64331,533254,89590,18786,707233,2.65626745358319,97.34373254641682
DC,1975,10142,26210,75960,0,125,112437,0.1111733681973016,99.8888266318027
DE,1975,22938,18975,174335,0,7901,224149,3.524887463249892,96.4751125367501
FL,1975,133463,292139,1378200,92177,48368,1944347,2.4876218082471904,97.51237819175282
GA,1975,311988,335376,655514,34063,93112,1430053,6.511087351307959,93.48891264869204
HI,1975,0,0,212880,0,874,213754,0.408881237310179,99.59111876268982
IA,1975,131562,348564,373735,25235,10885,889981,1.2230598181309489,98.77694018186905
ID,1975,13416,63776,125511,0,46157,248860,18.547376034718315,81.45262396528169
IL,1975,845574,1123588,1621647,245760,42042,3878611,1.0839447420739021,98.9160552579261
IN,1975,1061168,472567,814685,0,28234,2376654,1.1879726708220886,98.81202732917791
KS,1975,62280,490748,384086,0,5779,942893,0.6129009336160095,99.387099066384
KY,1975,558334,209199,415496,0,42637,1225666,3.4786801624586143,96.52131983754138
LA,1975,0,1854766,1205113,0,42358,3102237,1.3654018052134638,98.63459819478653
MA,1975,24484,154583,1124579,41636,50406,1395688,3.6115521520569067,96.3884478479431
MD,1975,197160,141854,593652,48307,39670,1020643,3.8867654997878787,96.11323450021212
ME,1975,1311,1976,222178,49586,41793,316844,13.190402848089281,86.80959715191072
MI,1975,750983,894795,1076579,79031,39694,2841082,1.397143764241933,98.60285623575807
MN,1975,191490,331518,556785,107372,30537,1217702,2.5077564133096604,97.49224358669034
MO,1975,430226,371837,613301,0,31465,1446829,2.1747559663235947,97.82524403367641
MS,1975,33355,235345,377776,0,31152,677628,4.59721262993855,95.40278737006145
MT,1975,18630,81190,154673,0,40908,295401,13.84829435242264,86.15170564757736
NC,1975,476522,116889,636312,15477,90483,1335683,6.774287012711849,93.22571298728815
ND,1975,67943,36862,116903,0,11868,233576,5.08100147275405,94.91899852724595
NE,1975,32886,217521,208267,65153,6914,530741,1.302706970066379,98.69729302993362
NH,1975,26187,7707,137438,0,17107,188439,9.078269360376568,90.92173063962343
NJ,1975,60498,251669,1269139,34645,32854,1648805,1.9925946367217469,98.00740536327825
NM,1975,132535,255637,199475,0,5559,593206,0.9371112227455555,99.06288877725444
NV,1975,101298,65355,115914,0,7009,289576,2.420435395198497,97.5795646048015
NY,1975,312508,585536,2575898,144387,156809,3775138,4.1537289497761405,95.84627105022386
OH,1975,1619050,978885,1200334,0,46247,3844516,1.2029342575242241,98.79706574247578
OK,1975,537,678851,421722,0,22046,1123156,1.9628617930189574,98.03713820698104
OR,1975,2673,114184,306615,23,175662,599157,29.31819205984408,70.68180794015592
PA,1975,1646695,670085,1469329,174766,62841,4023716,1.5617652935743973,98.4382347064256
RI,1975,147,23453,136846,0,4026,164472,2.447833065810594,97.5521669341894
SC,1975,140171,125900,337376,214291,56938,874676,6.5096104157425145,93.49038958425749
SD,1975,24282,32534,103528,0,28521,188865,15.101262806766739,84.89873719323326
TN,1975,471919,224065,492805,0,94729,1283518,7.380418506012382,92.61958149398762
TX,1975,196172,4046930,3220686,0,62394,7526182,0.8290259257615614,99.17097407423844
UT,1975,115740,117952,203889,0,6560,444141,1.4770084275038782,98.52299157249612
VA,1975,169188,123625,824369,98782,57695,1273659,4.529862388598518,95.47013761140148
VT,1975,744,4005,68977,39220,9800,122746,7.983966890978118,92.01603310902188
WA,1975,76241,171236,548878,36432,349910,1182697,29.585768797925418,70.41423120207457
WI,1975,272045,372097,524308,113356,51823,1333629,3.8858633098110493,96.11413669018896
WV,1975,817441,164297,198211,0,15366,1195315,1.2855188799605124,98.7144811200395
WY,1975,128034,81434,129694,0,5391,344553,1.5646359195827637,98.43536408041723
US,1975,12655613,19977076,32698781,1899798,2544166,69775434,3.646220244219477,96.35377975578052
AK,1976,13706,90571,141170,0,6532,251979,2.5922795153564384,97.40772048464356
AL,1976,632096,232758,532874,46557,95154,1539439,6.18108284901188,93.81891715098811
AR,1976,3578,248194,379963,42614,48224,722573,6.673927755396341,93.32607224460367
AZ,1976,139960,180181,307360,0,31674,659175,4.805097280691774,95.19490271930823
CA,1976,66630,1849711,3244758,53107,236233,5450439,4.334201336809751,95.66579866319024
CO,1976,185147,276287,344788,0,14670,820892,1.7870803954722423,98.21291960452776
CT,1976,1152,66382,555426,136215,21194,780369,2.7158946600902905,97.28410533990971
DC,1976,5844,29040,76714,0,142,111740,0.12708072310721316,99.87291927689279
DE,1976,20186,19662,185462,0,9607,234917,4.089529493395539,95.91047050660445
FL,1976,141836,300867,1477405,95538,54703,2070349,2.6422115305197336,97.35778846948027
GA,1976,347552,268375,727308,45666,104309,1493210,6.985554610537031,93.01444538946296
HI,1976,0,0,218380,0,1017,219397,0.4635432572004175,99.53645674279959
IA,1976,169471,313917,410376,27384,10696,931844,1.1478316112997455,98.85216838870025
ID,1976,15162,49843,130343,0,49181,244529,20.112542888573543,79.88745711142646
IL,1976,862231,1204616,1671086,292243,46568,4076744,1.142284136556036,98.85771586344396
IN,1976,1062942,420969,877430,0,32684,2394025,1.3652321926462756,98.63476780735373
KS,1976,73379,505408,402421,0,6490,987698,0.6570834404848446,99.34291655951516
KY,1976,617452,248673,446144,0,46122,1358391,3.395340516832046,96.60465948316795
LA,1976,0,2121366,1378762,0,45170,3545298,1.2740818966416927,98.72591810335831
MA,1976,3953,157185,1215625,40475,57090,1474328,3.8722726557455327,96.12772734425447
MD,1976,245318,149642,607311,70921,41835,1115027,3.7519270833800435,96.24807291661996
ME,1976,1050,2083,258409,65496,48561,375599,12.928948160138871,87.07105183986113
MI,1976,717683,895140,1143534,109371,45173,2910901,1.5518562809247034,98.44814371907529
MN,1976,222441,319516,599225,109482,31541,1282205,2.459903057623391,97.5400969423766
MO,1976,468324,381399,644310,0,34386,1528419,2.2497757486657783,97.75022425133422
MS,1976,42531,203702,420661,0,34819,701713,4.9620001339579005,95.0379998660421
MT,1976,42179,75412,166959,0,49489,334039,14.815335933828086,85.18466406617192
NC,1976,544481,102996,706387,27744,97627,1479235,6.599830317697999,93.400169682302
ND,1976,91487,41177,116538,0,11636,260838,4.461006448446929,95.53899355155308
NE,1976,53712,197442,229551,64335,7493,552533,1.3561180961137163,98.64388190388628
NH,1976,20331,7919,159996,0,20502,208748,9.821411462624791,90.1785885373752
NJ,1976,70596,332467,1348518,42587,36800,1830968,2.0098658196101735,97.99013418038983
NM,1976,137492,294878,202452,0,6251,641073,0.9750839607969763,99.02491603920302
NV,1976,111294,71205,115566,0,6636,304701,2.1778727342542363,97.82212726574576
NY,1976,363821,604276,2746055,172988,167710,4054850,4.136034625201919,95.86396537479808
OH,1976,1653336,1031075,1287362,0,52786,4024559,1.3115971215728233,98.68840287842718
OK,1976,1541,770752,439476,0,18576,1230345,1.5098204162247175,98.49017958377529
OR,1976,5876,95830,312312,23227,188065,625310,30.075482560649917,69.92451743935008
PA,1976,1682817,731356,1623254,181447,71329,4290203,1.6626019794401337,98.33739802055986
RI,1976,146,20966,140424,0,4682,166218,2.8167827792417186,97.18321722075828
SC,1976,171042,152416,386714,197186,59585,966943,6.162203976863165,93.83779602313683
SD,1976,37063,39168,103359,0,25744,205334,12.5376216310986,87.4623783689014
TN,1976,561514,218483,551645,0,94118,1425760,6.60125126248457,93.39874873751543
TX,1976,226342,4074690,3481271,0,68529,7850832,0.8728883766714152,99.12711162332859
UT,1976,101774,138603,207169,0,7111,454657,1.5640361855200733,98.43596381447993
VA,1976,202247,125855,856635,85506,69865,1340108,5.213385786817182,94.78661421318282
VT,1976,579,3700,78973,36013,11741,131006,8.962184938094438,91.03781506190556
WA,1976,81205,154881,558392,26568,393673,1214719,32.40856527312078,67.59143472687921
WI,1976,303970,320512,570026,118450,58073,1371031,4.235717500187815,95.76428249981218
WV,1976,872351,157204,216353,0,17617,1263525,1.3942739557982629,98.60572604420173
WY,1976,179069,82478,139354,0,5285,406186,1.3011280546350688,98.69887194536493
US,1976,13575890,20381227,35141985,2111121,2704698,73914921,3.6592043438698933,96.34079565613011
AK,1977,10259,116859,154922,0,7853,289893,2.708930536439307,97.29106946356069
AL,1977,629412,248715,573518,210228,102034,1763907,5.784545330337711,94.2154546696623
AR,1977,5244,234379,424446,54759,57171,775999,7.3674064012969085,92.6325935987031
AZ,1977,179847,176449,351150,0,29348,736794,3.9832029033895497,96.01679709661045
CA,1977,75109,1864187,3611311,87396,212831,5850834,3.6376181583685336,96.36238184163146
CO,1977,223762,253994,355019,2421,16129,851325,1.8945761019587115,98.1054238980413
CT,1977,1167,64709,550634,141876,21078,779464,2.704165939671364,97.29583406032863
